csv_name,csv_unit,csv_barcode,status,match_score,product_id,product_code,product_name,system_barcode,has_barcode_in_system
เทปใส ใหญ่,ม้วน,8851880006727,similar,0.92,274,STORE_KK_049,เทปใส,,no
หลอดเด็ก,แพ็ค,8857124806023,exact,1,508,PRD309,หลอดเด็ก,,no
หลอดงอเล็ก 621,แพ็ค,8859188805462,similar,0.636,509,PRD310,หลอดเล็ก 6 มม.,,no
หลอดงอใหญ่ 824,แพ็ค,8859188805240,similar,0.636,510,PRD311,หลอดใหญ่ 8 มม.,,no
ช้อนพลาสติก,แพ็ค,8859466400150,exact,1,677,PRD456,ช้อนพลาสติก,,no
ส้อมพลาสติก,แพ็็ค,8859466400167,similar,0.7,677,PRD456,ช้อนพลาสติก,,no
หนังยางเล็ก,ถุง,8857200248327,exact,1,377,PRD205,หนังยางเล็ก,,no
หนังยางใหญ่,ถุง,8859734190226,similar,0.92,264,STORE_KK_039,หนังยาง,,no
ถุงมือยางส้ม,ถุง,8858706860358,similar,0.727,291,STORE_KK_066,ถุงมือยางขาว,,no
ถุงมือยางขาว S,กล่อง,8859848850023,similar,0.92,291,STORE_KK_066,ถุงมือยางขาว,,no
ถุงมือยางขาว M,กล่อง,8859848850030,similar,0.92,291,STORE_KK_066,ถุงมือยางขาว,,no
น้ำยาล้างจาน,แกลอน,8851932464680,exact,1,276,STORE_KK_051,น้ำยาล้างจาน,,no
ผงชักฟอก,ถุง,8851932165358,similar,0.714,277,STORE_KK_052,ผงซักฟอก,,no
น้ำยาล้างมือ,ขวด,36000125528,similar,0.727,276,STORE_KK_051,น้ำยาล้างจาน,,no
สเปรย์ปรับอากาศ,ขวด,8850969385227,similar,0.786,723,PRD502,สเปร์ยปรับอากาศ,,no
กล่องใส2H,แพ็ค,8859205100020,exact,1,606,PRD385,กล่องใส 2H,,no
กล่องใส5H,แพ็ค,8859205100051,exact,1,607,PRD386,กล่องใส 5H ,,no
กล่องเหลี่ยม F 500,แพ็ค,8859368800690,exact,1,335,PRD163,กล่องเหลี่ยม F 500,,no
กล่องเหลี่ยม F 650,แพ็ค,8859368800706,exact,1,336,PRD164,กล่องเหลี่ยม F 650,,no
กล่องเหลี่ยม F 750,แพ็ค,8859368800713,exact,1,337,PRD165,กล่องเหลี่ยม F 750,,no
กล่องยาว 2000,แพ็ค,8859748800258,exact,1,333,PRD161,กล่องยาว 2000,,no
กล่องยาว 2800,แพ็ค,8859748800327,exact,1,334,PRD162,กล่องยาว 2800,,no
กล่องกลม Z 750,แพ็ค,8859368800683,exact,1,331,PRD159,กล่องกลม Z 750,,no
