รายการ,หน่วย,บาร์โค้ด
ถุงไฮเดน 9*14,แพ็ค,8858667404257
ถุงไฮเดน 9*18,แพ็ค,
ถุงไฮเดน 10*15,แพ็ค,
ถุงไฮเดน 14*22,แพ็ค,8858817012301
ถุงไฮเดน16*26,แพ็ค,8858817012363
ถุงไฮเดน 12*24,แพ็ค,
ถุงซีน 20*25,แพ็ค,STO0001
ถุงซีน 15*20,แพ็ค,STO0002
ถุงขยะ24*28,แพ็ค,888500024X28
ถุงขยะ28*36,แพ็ค,888500028X36
ถุงขยะเล็ก สีม่วง,แพ็ค,8851079003728
นมข้นหวาน,ถุง,8858705614785
นมจืด คาเนชั่น,กระป๋อง,8850124018205
น้ำเชื่อม,ถุง,8850256000703
น้ำผึ้ง,ขวด,8853941002969
แก้วร้านกาแฟ,แถว,8855051117489
ฝาแก้ว ดื่ม,แถว,8859350501895
ฝาแก้ว โดม,แถว,8859350501802-1
แก้วกาแฟ ร้อน,แถว,8859356501653
ฝาแก้ว ร้อน,แถว,8859356501851
ปีโป้,ถุง,8850425000060
คอนเฟล็ก,ถุง,9555805800399
ผงโกโก้,ถุง,8850939200024
ก๊าซวิปครีม,กล่อง,8859607300011
กาแฟ คั่วกลาง,ถุง,8857109096197
กาแฟ คั่วเข้ม,ถุง,8857109096333
ครีมหอมนมสด,ถุง,8859202001337
Creamy,ถุง,8854729550238
ลองบีชผงมันม่วง,ถุง,8859479400727
อัลมอนด์สไลซ์ 1 กก.,ถุง,8852516072321
คอริฟิน,ถุง,8850172132038
Strawberry topping,ขวด,8853375000166
Chocolate topping,ขวด,8853375000159
ชาแดง ตรามือ,ถุง,8850370721119
ชาทองตรามือ,ถุง,8850370841114
ชาเขียวตรามือ,ถุง,8850370071115
ชาเขียวมัจฉะ,ถุง,8850370420753
ชากุหลาบ,ถุง,8850370420319
เฮลบลูบอย แดง,ขวด,8850423000093
สตอเบอรี่ติ่งฟง,ขวด,8858732821026
